"date	",èàóùêî,èàóùéûä‘(s),ÉGÉâÅ[êî
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2022-07-18 16:22:48.726414,119,4620.539433479309,0
2022-07-19 14:41:06.535258,86,2955.0037801265717,21
2022-07-20 10:25:04.568258,5,222.03596544265747,0
2022-07-20 17:44:47.511547,9,346.09533619880676,0
2022-07-22 13:13:08.411169,100,3795.130909204483,0
2022-07-24 19:44:19.375519,89,3280.161401987076,0
2022-07-25 19:14:33.477793,63,2235.0037393569946,16
2022-07-25 19:59:31.031149,2,78.20080256462097,2
2022-07-25 20:09:58.080749,1,65.80623841285706,0
2022-07-25 20:13:06.430228,1,67.38827776908875,0
2022-07-25 20:16:57.420400,1,69.17897081375122,0
2022-07-26 10:32:59.027832,45,1663.085792541504,0
2022-07-26 23:34:04.577116,9,365.03319573402405,0
2022-07-27 00:44:53.752805,86,2886.8356654644012,19
2022-07-27 04:01:31.973739,86,1885.2424232959747,6
2022-08-22 10:37:51.613905,89,3340.6805036067963,0
2022-08-22 11:50:13.972148,1,65.69781589508057,0
2022-08-22 11:57:15.061126,1,58.36112976074219,1
2022-08-22 11:59:49.654736,1,65.62723755836487,0
2022-08-22 16:59:32.602104,118,5104.12566947937,0
2022-08-24 10:56:53.672541,87,3154.099664211273,2
2022-08-26 14:14:03.976817,102,3994.7320811748505,0
2022-08-27 19:02:28.947771,90,3357.2995347976685,0
2022-08-28 12:02:56.410612,89,3297.405907392502,0
2022-09-06 12:11:08.649692,114,4257.126914739609,4
2022-09-27 14:22:01.264714,102,3801.1988208293915,0
2022-10-05 13:47:33.407757,102,3862.9725501537323,0
2022-10-05 19:12:51.353518,101,23380.847623348236,0
2022-10-06 11:59:48.445405,81,3084.230884552002,0
2022-10-17 13:54:51.537834,89,3313.0083599090576,0
